,endTime,artistName,trackName,msPlayed
89,2021-04-14 02:55,Famous Dex,JAPAN,9984.0
90,2021-04-14 02:58,Travis Scott,Watch (feat. Lil Uzi Vert & Kanye West),217405.0
91,2021-04-14 02:58,Post Malone,Congratulations,872.0
92,2021-04-14 03:02,JACKBOYS,WHAT TO DO? (feat. Don Toliver),250141.0
93,2021-04-14 03:06,Post Malone,Candy Paint,227533.0
94,2021-04-14 03:10,Shordie Shordie,LOVE (feat. Trippie Redd),255093.0
95,2021-04-14 03:14,Mac Miller,The Spins,16244.0
96,2021-04-14 03:14,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir),213080.0
97,2021-04-14 03:17,Don Toliver,Can't Feel My Legs,180674.0
98,2021-04-14 03:19,sammy rash,summer&cigarettes,114427.0
99,2021-04-14 03:20,Mac Miller,The Spins,6430.0
100,2021-04-14 06:19,Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),161796.0
101,2021-04-16 05:11,Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),23289.0
103,2021-04-16 05:13,Mac Miller,The Spins,417.0
104,2021-04-16 05:13,Trippie Redd,Poles 1469,149575.0
105,2021-04-16 05:18,Rae Sremmurd,Guatemala - From Swaecation,256341.0
107,2021-04-16 05:20,Spillage Village,"End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)",138.0
108,2021-04-16 05:20,YK Osiris,Freaky Dancer (feat. DaBaby),156026.0
109,2021-04-16 05:24,Spillage Village,"End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)",193.0
110,2021-04-16 05:24,Yella Beezy,Bacc At It Again,228185.0
111,2021-04-16 05:27,24kGoldn,VALENTINO,175124.0
112,2021-04-16 05:31,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),212880.0
113,2021-04-16 05:34,iann dior,Strings,188824.0
114,2021-04-16 05:36,YoungBoy Never Broke Again,Slime Belief,109389.0
115,2021-04-16 05:39,Sheck Wes,Mo Bamba,180813.0
116,2021-04-16 05:40,Fetty Wap,679 (feat. Remy Boyz),95341.0
117,2021-04-16 05:41,Sheck Wes,Mo Bamba,21130.0
118,2021-04-16 05:44,T.I.,Whatever You Like,160194.0
119,2021-04-16 05:44,Sheck Wes,Mo Bamba,14094.0
120,2021-04-16 05:47,Rae Sremmurd,Swang,204312.0
121,2021-04-16 05:50,Roddy Ricch,The Box,196652.0
122,2021-04-16 05:51,Travis Scott,YOSEMITE,40402.0
124,2021-04-16 05:51,Sheck Wes,Mo Bamba,14164.0
125,2021-04-16 05:55,Spillage Village,"End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)",3525.0
126,2021-04-16 05:55,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),199427.0
127,2021-04-16 05:56,Sheck Wes,Mo Bamba,11749.0
128,2021-04-16 05:56,YoungBoy Never Broke Again,Self Control,58537.0
129,2021-04-16 06:00,Lil Baby,Sum 2 Prove,205760.0
130,2021-04-16 06:02,Spillage Village,"End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)",116241.0
